source,transaction,property_id,link,property_name,address_street,address_town,address_zrea,room_number,floor_area,building_status,year_of_construction,year_of_top,floor,energ_cert,price,price_area,photo_url_1,photo_url_2,photo_url_3
reality_sk,predaj,JuOmT5EeemK,https://www.reality.sk/byty/velky-2-izbovy-byt-na-predaj-v-trnave-len-5-minut-peso-od-centra/JuOmT5EeemK/,Veľký 2-izbový byt na predaj v Trnave – len 5 minút pešo od centra,,Slovensko,Trnavský kraj,1,77,Čiastočná rekonštrukcia,1955,,2,nie je,175000,2273,https://s.unitedclassifieds.sk/jul/MjELqL9CD_fss?st=S7Qhgt27sDkWjOpU4UIrctOT25U9uHItx-l-RKxnNB0&ts=1757019347&e=0,https://s.unitedclassifieds.sk/jul/MiomJvJfX_fss?st=yPa5OjaU4OntR86mwCBNDy67rHyhy9iuQXdwThNvpTM&ts=1757019351&e=0,https://s.unitedclassifieds.sk/jul/zEGCQ70KI_fss?st=k1iVWa24Wrllr_aAJvxZ2yRrOEKfozKYslOMquZI2pc&ts=1757019353&e=0
reality_sk,predaj,JuDpEUWX__y,https://www.reality.sk/byty/na-predaj-slnecny-2-izbovy-byt-s-vlastnym-parkovacim-miestom-v-obci-selpice/JuDpEUWX__y/,Na predaj slnečný 2-izbový byt s vlastným parkovacím miestom v obci Šelpice,,Slovensko,Trnavský kraj,2,58,Kompletná rekonštrukcia,,2008,,,139990,2414,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKHB1cy9WSWt5VzZkSkpfZnNzLC01LC01LDAsMzAsMzApL2p1bA==/xI-ZwALd0_fss?st=ZhjS2QmSxY-66Is4wFhVkq3Z_nfTUx73vs6t5O1hGtg&ts=1758731042&e=0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKHB1cy9WSWt5VzZkSkpfZnNzLC01LC01LDAsMzAsMzApL2p1bA==/C8bAqUgFt_fss?st=50c3aOvAuvoLQml6VZ-uoK2xlMTAzFb6hnet5sdkREs&ts=1758731043&e=0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKHB1cy9WSWt5VzZkSkpfZnNzLC01LC01LDAsMzAsMzApL2p1bA==/zqLMj6zO8_fss?st=axRQcD__lWx6RImyJm3nJiuz7XaqLUgFZJqBPuihrck&ts=1758731044&e=0
reality_sk,predaj,JuQqRAFMZup,https://www.reality.sk/byty/luxusna-rezidencia-zelenice-s-bazenom-wellness-15min-od-tt/JuQqRAFMZup/,"Luxusná rezidencia Zelenice s bazénom, wellness,15min od TT",,Slovensko,Trnavský kraj,2,45,Novostavba,,,,A,110616,2458,https://s.unitedclassifieds.sk/jul/Pry-pA2zb_fss?st=2Pn3sXvp5c29TACRuTF-g-jlQ4z57Y6vxui_f2Ww9t4&ts=1757520211&e=0,https://s.unitedclassifieds.sk/jul/H23bVh78b_fss?st=XqOnnIp0fNTYZ5yqFdZ4jvN_Q7VLHvcyh0C_W0rtJcg&ts=1757520211&e=0,https://s.unitedclassifieds.sk/jul/JKsP5tGdI_fss?st=LmaQdb64M6W_04-_TtnacuK2z271n8wO5JhED9F2TZw&ts=1757520210&e=0
reality_sk,predaj,Ju6fYDQptul,https://www.reality.sk/byty/luxusna-rezidencia-zelenice-s-bazenom-wellness-15min-od-tt/Ju6fYDQptul/,"Luxusná rezidencia Zelenice s bazénom, wellness,15min od TT",,Slovensko,Trnavský kraj,3,63,Novostavba,,,,A,157656,2502,https://s.unitedclassifieds.sk/jul/Pry-pA2zb_fss?st=2Pn3sXvp5c29TACRuTF-g-jlQ4z57Y6vxui_f2Ww9t4&ts=1757520211&e=0,https://s.unitedclassifieds.sk/jul/H23bVh78b_fss?st=XqOnnIp0fNTYZ5yqFdZ4jvN_Q7VLHvcyh0C_W0rtJcg&ts=1757520211&e=0,https://s.unitedclassifieds.sk/jul/AxB9hZulx_fss?st=rGw46jrT7ZHZvS3ikKj29OxmG8gssQT3x4WDCw04KCE&ts=1757520211&e=0
reality_sk,predaj,JuTqHjYuCBr,https://www.reality.sk/byty/level-real-ponukame-exkluzivne-na-predaj-2izb-byt-v-arborii-s-parkovacim-miestom-novostavba/JuTqHjYuCBr/,LEVEL REAL - Ponúkame exkluzivne na predaj 2izb byt v Arborii s parkovacim miestom - NOVOSTAVBA,,Slovensko,Trnavský kraj,,51,Novostavba,2023,,3,A,194990,3823,https://s.unitedclassifieds.sk/jul/ZesQWEWqS_fss?st=ZUG-pmIAHgk-PdNFVfgX374eVvf3oow1qzxZEshQyfM&ts=1761203663&e=0,https://s.unitedclassifieds.sk/jul/LTaHoUOu4_fss?st=_AO6aaOnaQnjaM7yyfadTRrppq910VNoKH6-KYNgCvY&ts=1761203708&e=0,https://s.unitedclassifieds.sk/jul/AxKNAIOmX_fss?st=ycVtLODh_2rS9XfM75aBEiGglvbk-G_n3F0u6FYvdX0&ts=1761203733&e=0
reality_sk,predaj,JuKCQb-n4aI,https://www.reality.sk/byty/az-3-izbovy-byt-67-m2-lodzia-kompletna-rekonstrukcia/JuKCQb-n4aI/,"AZ. 3-izbový byt, 67 m² + lodžia, kompletná rekonštrukcia",,Slovensko,Trnavský kraj,,67,Kompletná rekonštrukcia,1970,,3,nie je,181990,2716,https://s.unitedclassifieds.sk/jul/_-NWPE1TJi_fss?st=uh7tpXKwDBZSqrqkY8Tpi4Z-3804pmHBtxvKt-1Gz0c&ts=1756293019&e=0,https://s.unitedclassifieds.sk/jul/JmJh1owqa_fss?st=96ybiscz8inBfnP5PQi4V8zrPbFYftTCK_bfNaJ18Go&ts=1756293022&e=0,https://s.unitedclassifieds.sk/jul/GP08-FIt7E_fss?st=5XXblMr6z2nQ4MMiQRHBAVl-Um0RJuOZXwW7LjBuWHY&ts=1756293061&e=0
reality_sk,predaj,JuFgVdypRDT,https://www.reality.sk/byty/rezervovane-dizajnovy-3-izbovy-byt-v-trnave-po-kompletnej-rekonstrukcii-na-predaj/JuFgVdypRDT/,+++REZERVOVANÉ+++ DIZAJNOVÝ 3 IZBOVÝ BYT V TRNAVE PO KOMPLETNEJ REKONŠTRUKCII NA PREDAJ+++,,Slovensko,Trnavský kraj,3,73,Kompletná rekonštrukcia,1975,,2,,185000,2534,https://s.unitedclassifieds.sk/jul/kpSx-mh3h_fss?st=jkkgtgvI45xnWm_rj1JaTqnSTS2XNH_tmLModHpKzJQ&ts=1758290539&e=0,https://s.unitedclassifieds.sk/jul/3Vr3XyUz-_fss?st=oQkqjAlbnvAHAVzkJS3OxQD4ZfJbjj4YoLnTlexxVrE&ts=1758290540&e=0,https://s.unitedclassifieds.sk/jul/JGYoyq127_fss?st=AsGaygv0l8Pj7XmInNSIHdZ1Cx1YtSO_eaOMZz0kGM4&ts=1758290541&e=0
reality_sk,predaj,JuJjXCPDHyx,https://www.reality.sk/byty/pupava-development-ponuka-luxusne-4-izbove-mezonety-v-centre-trnavy-pupavy-residence/JuJjXCPDHyx/,Púpava development ponúka luxusné 4-izbové mezonety v centre Trnavy – Púpavy Residence,,Slovensko,Trnavský kraj,,92,Novostavba,2025,,2,A,541000,5880,https://s.unitedclassifieds.sk/jul/35wH20BWs_fss?st=GmoSFKfIEnu8-IeyCCShtanMNA_0eHAHkE88Oe64_Wg&ts=1760014797&e=0,https://s.unitedclassifieds.sk/jul/gt4iDxW_n_fss?st=p30Y0QuyIoLRQPwMbrxWyLRAvaL8qYBQ2uORKp_dRsE&ts=1760014778&e=0,https://s.unitedclassifieds.sk/jul/gnjFLKKR-_fss?st=bax2ANVwYaXq4qKcCmUgj3DTIOnkiQV510hCNWI3OLU&ts=1760014782&e=0
reality_sk,predaj,Ju4bNWQxqXm,https://www.reality.sk/byty/pupava-development-ponuka-luxusne-3-izbove-byty-v-centre-trnavy-pupavy-residence/Ju4bNWQxqXm/,Púpava development ponúka luxusné 3-izbové byty v centre Trnavy – Púpavy Residence,,Slovensko,Trnavský kraj,,73,Novostavba,2025,,2,A,427000,5849,https://s.unitedclassifieds.sk/jul/dH8pOrOqS_fss?st=CSo2To49z8BjER-H8KX1yFz4uSw36o4FWrlRb4F0kls&ts=1760014524&e=0,https://s.unitedclassifieds.sk/jul/jBRmQ-Ql5_fss?st=6IkvI_nfvmEkla4VXJo1lHmK7GvxSiZNKBoXGX0as4I&ts=1760014526&e=0,https://s.unitedclassifieds.sk/jul/6B6z3J8fu_fss?st=ptud2Nd1mvyXzfDm-dQxS6I53TilfJR90V0oIiYngm8&ts=1760014528&e=0
reality_sk,predaj,JudiR-wR4x_,https://www.reality.sk/byty/pupava-development-ponuka-luxusne-2-izbove-byty-v-centre-trnavy-pupavy-residence/JudiR-wR4x_/,Púpava development ponúka luxusné 2-izbové byty v centre Trnavy – Púpavy Residence,,Slovensko,Trnavský kraj,,45,Novostavba,2025,,2,A,274000,6089,https://s.unitedclassifieds.sk/jul/wEN1s1IPh_fss?st=wJzDSktujEJWpYbnwhnqpdoizqahVOiQDHA4zsGDA38&ts=1760014364&e=0,https://s.unitedclassifieds.sk/jul/R68F3TFC1_fss?st=snTvO9NbS8ObreZQ4et3fPpX22BqkU26Hddghh0Gv1Y&ts=1760014356&e=0,https://s.unitedclassifieds.sk/jul/uxegesKP8_fss?st=ugZpJauwy-BcwxVehuC9696xhqelBcCrQoZofs75mFQ&ts=1760014358&e=0
reality_sk,predaj,JuQWecyPiI2,https://www.reality.sk/byty/jedinecny-projekt-historickom-centre-trnavy-uz-v-predaji-zaciatok-vystavby-2025/JuQWecyPiI2/,Jedinečný projekt historickom centre Trnavy!Už v predaji !! Začiatok výstavby 2025,,Slovensko,Trnavský kraj,,60,Novostavba,,,3,,254900,4248,https://s.unitedclassifieds.sk/jul/QWSJ6Yado_fss?st=xoutEdAz1fIZ-2deGyYNEwzei-xz4-n9_NS9RapUjrE&ts=1753193453&e=0,https://s.unitedclassifieds.sk/jul/2VTQuLVI0_fss?st=lZPLYsStg9huLevAPg8CvYqFygelDbvFmrLwxleAy_I&ts=1753193453&e=0,https://s.unitedclassifieds.sk/jul/TYxNbtz3PW_fss?st=PunDcb1iKF7u1lsdad3eFimPCROt_VTUJxu1WC2sl_0&ts=1753193494&e=0
reality_sk,predaj,JuiKRi--1xN,https://www.reality.sk/byty/jedinecny-projekt-historickom-centre-trnavy-uz-v-predaji-zaciatok-vystavby-2025/JuiKRi--1xN/,Jedinečný projekt historickom centre Trnavy!Už v predaji !! Začiatok výstavby 2025,,Slovensko,Trnavský kraj,4,105,Novostavba,,,1,,439900,4190,https://s.unitedclassifieds.sk/jul/L4YxtNUNN_fss?st=7eHjF_1vrMpKQnkcrs5hL64kCGW65L_bs7QrTfcZBu4&ts=1753193510&e=0,https://s.unitedclassifieds.sk/jul/2VTQuLVI0_fss?st=lZPLYsStg9huLevAPg8CvYqFygelDbvFmrLwxleAy_I&ts=1753193453&e=0,https://s.unitedclassifieds.sk/jul/QWSJ6Yado_fss?st=xoutEdAz1fIZ-2deGyYNEwzei-xz4-n9_NS9RapUjrE&ts=1753193453&e=0
reality_sk,predaj,JuDk6n7v_1i,https://www.reality.sk/byty/az-byty-kamenac-2-izbovy-byt-jedinecne-byvanie-v-srdci-kamenneho-mlynu-v-trnave/JuDk6n7v_1i/,AZ. Byty Kamenáč – 2 izbový byt - jedinečné bývanie v srdci Kamenného Mlynu v Trnave,,Slovensko,Trnavský kraj,,50,Novostavba,2025,,2,A,179900,3598,https://s.unitedclassifieds.sk/jul/P1CPoyNyE1_fss?st=1anbn0OTSozgRzysw5PC5l7bwpQGvjJylDiRaMhLx4s&ts=1756292927&e=0,https://s.unitedclassifieds.sk/jul/nGqtiWLp1_fss?st=UWFGBkGxWBTbeeO0E-f-CqF3AUpOf5dmaxYEc5q1tT4&ts=1756292931&e=0,https://s.unitedclassifieds.sk/jul/_5Agy7Ql5T_fss?st=HT9aGIOLoDOl9k3XGufTHEE4KH5y6hpBz-qWK4n19Gk&ts=1756292933&e=0
reality_sk,predaj,Ju7-lbz4eo2,https://www.reality.sk/byty/jedinecny-projekt-historickom-centre-trnavy-uz-v-predaji-3izb-byt-s-krasnou-slnecnou-terasou/Ju7-lbz4eo2/,"Jedinečný projekt historickom centre Trnavy! Už v predaji ! 3izb.byt s krásnou,slnečnou terasou",,Slovensko,Trnavský kraj,,140,Novostavba,2025,2027,5,A,499900,3571,https://s.unitedclassifieds.sk/jul/Y0nS_naB1_fss?st=3brQ2TKf8e2FTIx4xNQh37AvdBzp0OH49165In31NpE&ts=1760343471&e=0,https://s.unitedclassifieds.sk/jul/_dyZwb5qo_fss?st=KsfW06PplmsfWqTyQe-inknPUBAbXjovwdDZU_BJWuc&ts=1753193515&e=0,https://s.unitedclassifieds.sk/jul/kuoA1WldO_fss?st=xt7ZsjTKDn9ncCMC1kku_yDU6SjMtgQyPSoQqJ-tdgA&ts=1760343472&e=0
reality_sk,predaj,JupVz_cNj8T,https://www.reality.sk/byty/jedinecny-projekt-historickom-centre-trnavy-uz-v-predaji-zaciatok-vystavby-2025/JupVz_cNj8T/,Jedinečný projekt historickom centre Trnavy!Už v predaji !! Začiatok výstavby 2025,,Slovensko,Trnavský kraj,3,74,Novostavba,,,4,A,339900,4593,https://s.unitedclassifieds.sk/jul/HQaW_5NGu_fss?st=d9fPWmAcFeuJuWen9ZR5T_tubAbQhx_AG7uUoN8O1P0&ts=1760343470&e=0,https://s.unitedclassifieds.sk/jul/2VTQuLVI0_fss?st=lZPLYsStg9huLevAPg8CvYqFygelDbvFmrLwxleAy_I&ts=1753193453&e=0,https://s.unitedclassifieds.sk/jul/v_FMDjjGi_fss?st=Op9HzhqdaduwlJxUCYTY9-sEdcw3LtiGCoakozGFpM4&ts=1753193520&e=0
reality_sk,predaj,JuZXUXmQfoH,https://www.reality.sk/byty/pupavy-pri-aleji-nadstandardne-priestranne-byty-v-standardnom-prevedeni-stropne-chladenie-a-kurenie-v-cene/JuZXUXmQfoH/,Púpavy pri Aleji – nadštandardne priestranné byty v štandardnom prevedení + stropné chladenie a kúrenie v cene,,Slovensko,Trnavský kraj,3,85,Vo výstavbe,2024,,3,A,248500,2924,https://s.unitedclassifieds.sk/jul/GtHTrkk7h_fss?st=mt7BzUqz01tJSlvlFj3zlKm5oCzE7QxoVSPfpzMqBU4&ts=1758182204&e=0,https://s.unitedclassifieds.sk/jul/OZfkd2tlp_fss?st=spPaaGvbEb4TMgZz6FT7dM1I76YlOWcwaEgFD-vv_3o&ts=1747041815&e=0,https://s.unitedclassifieds.sk/jul/6en1WhUrD_fss?st=VYH0hLG_diUnD7MevlNHPMLsrmZXT9XTMpwroM1cLUY&ts=1758182207&e=0
